"X","Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta","Months","Year","Day","Month_Year","market_direction","earlier_price_1"
2902,"2018-04-16",0.682296,0.687165,0.63861,0.663297,531996000,26693300000,"XRP",-0.027845685743431,"04","2018","16","2018-04","Down",-0.0119673931026185
2903,"2018-04-15",0.634883,0.682534,0.634143,0.682534,609637000,24838400000,"XRP",0.0750547738717212,"04","2018","15","2018-04","Up",-0.027845685743431
2904,"2018-04-14",0.63738,0.661508,0.616307,0.632184,626268000,24936100000,"XRP",-0.00815212275251809,"04","2018","14","2018-04","Down",0.0750547738717212
2905,"2018-04-13",0.630093,0.693112,0.605816,0.638087,1245170000,2.4651e+10,"XRP",0.0126870160436633,"04","2018","13","2018-04","Up",-0.00815212275251809
2906,"2018-04-12",0.538657,0.644518,0.506543,0.628737,1346740000,21058600000,"XRP",0.167230723818682,"04","2018","12","2018-04","Up",0.0126870160436633
2907,"2018-04-11",0.492568,0.548455,0.489026,0.539506,341707000,19256700000,"XRP",0.0952924266294198,"04","2018","11","2018-04","Up",0.167230723818682
2908,"2018-04-10",0.492134,0.493645,0.482839,0.491931,154495000,19239800000,"XRP",-0.000412489281374603,"04","2018","10","2018-04","Down",0.0952924266294198
2909,"2018-04-09",0.501201,0.512142,0.482573,0.491855,271775000,19594200000,"XRP",-0.018647209403014,"04","2018","09","2018-04","Down",-0.000412489281374603
2910,"2018-04-08",0.488227,0.501418,0.487591,0.500398,137548000,1.9087e+10,"XRP",0.0249289777091394,"04","2018","08","2018-04","Up",-0.018647209403014
2911,"2018-04-07",0.476851,0.495667,0.474575,0.487867,209076000,18642300000,"XRP",0.0231015558319055,"04","2018","07","2018-04","Up",0.0249289777091394
2912,"2018-04-06",0.494781,0.49809,0.465615,0.476431,218156000,19343200000,"XRP",-0.0370871153096017,"04","2018","06","2018-04","Down",0.0231015558319055
2913,"2018-04-05",0.50195,0.505882,0.48449,0.495801,358755000,19623500000,"XRP",-0.012250224125909,"04","2018","05","2018-04","Down",-0.0370871153096017
2914,"2018-04-04",0.554569,0.563117,0.498487,0.501631,415258000,21680600000,"XRP",-0.0954579141639723,"04","2018","04","2018-04","Down",-0.012250224125909
2915,"2018-04-03",0.501533,0.562698,0.499658,0.558044,578239000,19607200000,"XRP",0.11267653374753,"04","2018","03","2018-04","Up",-0.0954579141639723
2916,"2018-04-02",0.486067,0.510446,0.478596,0.500688,262342000,19002500000,"XRP",0.0300802152789636,"04","2018","02","2018-04","Up",0.11267653374753
2917,"2018-04-01",0.513854,0.515437,0.466223,0.485081,297869000,20088900000,"XRP",-0.0559945042755336,"04","2018","01","2018-04","Down",0.0300802152789636
2918,"2018-03-31",0.510617,0.529406,0.505167,0.512353,293208000,19962300000,"XRP",0.0033998084670114,"03","2018","31","2018-03","Up",-0.0559945042755336
2919,"2018-03-30",0.513268,0.531276,0.484362,0.509565,518219000,20065800000,"XRP",-0.00721455457967358,"03","2018","30","2018-03","Down",0.0033998084670114
2920,"2018-03-29",0.577767,0.57864,0.511511,0.511511,420550000,22587400000,"XRP",-0.114675985302033,"03","2018","29","2018-03","Down",-0.00721455457967358
2921,"2018-03-28",0.577511,0.594023,0.572828,0.578002,258298000,22577300000,"XRP",0.000850200255925894,"03","2018","28","2018-03","Up",-0.114675985302033
